Journal,Peer review guidelines,Guidelines source,Website,Publisher
PalZ (Palaontologische Zeitschrift),,,https://www.springer.com/earth+sciences+and+geography/paleontology/journal/12542,SpringerNature
Swiss Journal of Geosciences,,,https://www.springer.com/birkhauser/geo+science/journal/15,SpringerNature
Palaios,,,https://pubs.geoscienceworld.org/palaios,Society for Sedimentary Geology
Biological Journal of the Linnean Society,,,https://academic.oup.com/biolinnean,Oxford University Press
Zoological Journal of the Linnean Society,,,https://academic.oup.com/zoolinnean,Oxford University Press
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,,,http://journals.cambridge.org/action/displayJournal?jid=TRE,Cambridge University Press
Geological Magazine,,,https://www.cambridge.org/core/journals/geological-magazine,Cambridge University Press
Netherlands Journal of Geosciences,,,https://www.cambridge.org/core/journals/netherlands-journal-of-geosciences,Cambridge University Press
Annales de Paleontologie,,,https://www.journals.elsevier.com/annales-de-paleontologie/,Elsevier
Biological Reviews,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-185X/homepage/ProductInformation.html,Wiley
Boreas,,,https://onlinelibrary.wiley.com/journal/15023885,Wiley
Canadian Journal of Earth Sciences,,,http://www.nrcresearchpress.com/journal/cjes,NRC Research Press
Evolution,,,https://onlinelibrary.wiley.com/journal/15585646,Wiley
Geobios,,,https://www.journals.elsevier.com/geobios/,Elsevier
Geology Today,,,https://www.wiley.com/en-gb/Geology+Today-p-9780JRNL60398,Wiley
Journal of Anatomy,,,https://onlinelibrary.wiley.com/page/journal/14697580/homepage/ProductInformation.html,Wiley
Journal of Evolutionary Biology,,,https://onlinelibrary.wiley.com/journal/14209101,Wiley
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,,,https://onlinelibrary.wiley.com/journal/15525015,Wiley
Journal of Morphology,,,https://www.wiley.com/en-gb/Journal+of+Morphology-p-9780471559856,Wiley
Palaeoworld,,,https://www.journals.elsevier.com/palaeoworld/,Elsevier
PLoS Biology,,,http://www.plosbiology.org/,PLOS
Revue de Micropaleontologie,,,https://www.journals.elsevier.com/revue-de-micropaleontologie/,Elsevier
The Anatomical Record,,,https://onlinelibrary.wiley.com/journal/19328494,Wiley
Zoologica Scripta,,,https://onlinelibrary.wiley.com/journal/14636409,Wiley
"Palaeogeography, Palaeoclimatology, Palaeoecology",,,https://www.journals.elsevier.com/palaeogeography-palaeoclimatology-palaeoecology/,Elsevier
Development Genes and Evolution,,,http://www.springer.com/life+sciences/evolutionary+&+developmental+biology/journal/427,SpringerNature
International Journal of Earth Sciences,,,https://www.springer.com/earth+sciences+and+geography/geology/journal/531,SpringerNature
Journal of Iberian Geology,,,https://www.springer.com/earth+sciences+and+geography/journal/41513,SpringerNature
Journal of Paleolimnology,,,https://www.springer.com/earth+sciences+and+geography/paleontology/journal/10933,SpringerNature
Organisms Diversity & Evolution,,,https://www.springer.com/life+sciences/ecology/journal/13127/PS2,SpringerNature
Palaeobiodiversity and Palaeoenvironments,,,https://www.springer.com/earth+sciences+and+geography/paleontology/journal/12549,SpringerNature
Science China Earth Sciences,,,https://www.springer.com/earth+sciences+and+geography/journal/11430,SpringerNature
Swiss Journal of Palaeontology,,,https://www.springer.com/earth+sciences+and+geography/paleontology/journal/13358,SpringerNature
Vegetation History and Archaeobotany,,,http://www.springer.com/earth+sciences+and+geography/journal/334,SpringerNature
Geochimica et Cosmochimica Acta,,,https://www.journals.elsevier.com/geochimica-et-cosmochimica-acta,Elsevier
Global and Planetary Change,,,https://www.journals.elsevier.com/global-and-planetary-change/,Elsevier
Journal of Molluscan Studies,,,https://academic.oup.com/mollus/pages/about,Oxford University Press
Earth and Planetary Science Letters,,,https://www.journals.elsevier.com/earth-and-planetary-science-letters/,Elsevier
Quaternary Science Reviews,,,https://www.journals.elsevier.com/quaternary-science-reviews/,Elsevier
Palaeontology,,,https://www.palass.org/publications/palaeontology-journal,Wiley
Cretaceous Research,,,https://www.journals.elsevier.com/cretaceous-research/,Elsevier
Evolution & Development,,,https://onlinelibrary.wiley.com/journal/1525142x,Wiley
Gondwana Research,,,https://www.journals.elsevier.com/gondwana-research/,Elsevier
Lethaia,,,https://onlinelibrary.wiley.com/journal/15023931,Wiley
Proceedings of the Geologists' Association,,,https://www.journals.elsevier.com/proceedings-of-the-geologists-association/,Elsevier
Quaternary International,,,https://www.journals.elsevier.com/quaternary-international/,Elsevier
Review of Palaeobotany and Palynology,,,https://www.journals.elsevier.com/review-of-palaeobotany-and-palynology/,Elsevier
Acta Geologica Sinica (English Edition),,,https://onlinelibrary.wiley.com/journal/17556724,Geological Society of China/Wiley
Geological Journal,,,https://onlinelibrary.wiley.com/page/journal/10991034/homepage/productinformation.html,Wiley
Journal of Geophysical Research (Biogeosciences),,,https://agupubs.onlinelibrary.wiley.com/journal/21698961,"American Geophysical Union, Wiley"
Paleoceanography and Paleoclimatology,,,https://agupubs.onlinelibrary.wiley.com/journal/25724525,"American Geophysical Union, Wiley"
Journal of Quaternary Science,,,https://onlinelibrary.wiley.com/journal/10991417,Wiley
Journal of the Geological Society,,,https://www.geolsoc.org.uk/jgs,Geological Society of London
Journal of Zoology,,,https://zslpublications.onlinelibrary.wiley.com/journal/14697998/,Wiley
Terra Nova,,,https://onlinelibrary.wiley.com/page/journal/13653121/homepage/productinformation.html,Wiley
Geobiology,,,https://www.wiley.com/en-gb/Geobiology-p-9780JRNL60152,Wiley
Earth-Science Reviews,,,https://www.journals.elsevier.com/earth-science-reviews/,Elsevier
BioEssays,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-1878/homepage/ProductInformation.html,Wiley
Trends in Ecology & Evolution,,,http://www.cell.com/trends/ecology-evolution/,Elsevier
Science Advances,,,http://advances.sciencemag.org/,American Association for the Advancement of Science
Current Biology,,,http://www.cell.com/current-biology/authors,Elsevier
Nature Communications,,,https://www.nature.com/ncomms/,SpringerNature
Acta Palaeontologica Sinica,,,http://english.nigpas.cas.cn/sp/200909/t20090914_37763.html,Chinese Academy of Sciences
Albertiana,,,https://albertiana-sts.org/,Subcommission on Triassic Stratigraphy
American Journal of Science,,,http://www.ajsonline.org/site/misc/about.xhtml,American Journal of Science
Annals of Carnegie Museum,,,https://carnegiemnh.org/researcher/annals-carnegie-museum/,The Carnegie Museum of Natural History
Annual Review of Earth and Planetary Sciences,,,https://www.annualreviews.org/journal/earth,Annual Reviews
"Annual Review of Ecology, Evolution, and Systematics",,,https://www.annualreviews.org/journal/ecolsys,Annual Reviews
Australasian Palaeontological Memoirs,,,https://www.gsa.org.au/Public/Publications/Australasian_Palaeontological_Memoirs/Public/Journals_Publications/Australasian_Palaeontological_Memoirs.aspx?hkey=36a51684-422a-4a68-bb05-4ccfd3a688c0,Australian Association of Palaeontologists
Biogeosciences,,,http://www.biogeosciences.net/index.html,European Geosciences Union
Bulletin of the American Museum of Natural History,,,http://digitallibrary.amnh.org/dspace/handle/2246/7,American Museum of Natural History
Bulletin of the Mizunami Fossil Museum,,,http://www.city.mizunami.lg.jp/docs/2014092922681/,Mizunami Fossil Museum
Bulletins of American Paleontology,,,https://priweb.org/index.php/publications/bulletins-of-american-paleontology,Paleontological Research Institution
Copeia,,,http://www.asih.org/copeia,American Society of Ichthyologists and Herpetologists
Developments in Palaeontology and Stratigraphy,,,https://www.sciencedirect.com/bookseries/developments-in-palaeontology-and-stratigraphy,Elsevier
Episodes,,,http://www.episodes.org/,International Union of Geological Sciences
Fossils and Strata,,,https://www.wiley.com/en-gb/Fossils+%26+Strata-p-9780JRNL71240,Wiley
Invertebrate Zoology,,,http://kmkjournals.com/journals/Inv_Zool,KMK Journals
Irish Journal of Earth Sciences,,,https://www.ria.ie/irish-journal-earth-sciences-instructions-authors,Royal Irish Academy
Joannea - Geologie und Palaontologie,,,https://www.museum-joanneum.at/naturkundemuseum/sammlungen-forschung/publikationen/geologie-palaeontologie/joannea,Landesmuseum Joanneum
Journal of Foraminiferal Research,,,https://pubs.geoscienceworld.org/jfr,Cushman Foundation for Foraminiferal Research
Journal of Nannoplankton Research,,,http://ina.tmsoc.org/JNR/JNRinstructions.htm,International Nannoplankton Association
Journal of Stratigraphy,,,http://english.nigpas.cas.cn/sp/200909/t20090914_37765.html,Science Press
Journal of the Geological Society of India,,,https://www.springer.com/earth+sciences+and+geography/geology/journal/12594,SpringerNature
Memoir of the Fukui Prefectural Dinosaur Museum,,,https://www.dinosaur.pref.fukui.jp/en/memoir.html,Fukui Prefectural Dinosaur Museum
Micropaleontology,,,http://www.micropress.org/micro_journal.html,Micropaleontology Press
Nature,,,https://www.nature.com/,SpringerNature
Nature Ecology & Evolution,,,https://www.nature.com/natecolevol/,SpringerNature
Nature Geoscience,,,https://www.nature.com/ngeo/,SpringerNature
Neues Jahrbuch fur Geologie und Palaontologie,,,https://www.schweizerbart.de/journals/njgpa,Scweizerbart Science Publishers
Newsletters on Stratigraphy,,,https://www.schweizerbart.de/journals/nos,Scweizerbart Science Publishers
Palaeo Ichthyologica,,,https://pfeil-verlag.de/publikationen/palaeo-ichthyologica/,Dr. Friedrich Pfeil
Palaeo Vertebrata,,,http://palaeovertebrata.com/,Institut des Sciences de l'Evolution
Palaeontographica Canadiana,,,http://publish.uwo.ca/~ctsujita/paleodivisiongac_files/Page554.htm,Geological Association of Canada
"Palaeontographica Section A (Paleozoology, Stratigraphy)",,,http://www.schweizerbart.de/journals/pala,Scweizerbart Science Publishers
Palaeontographica Section B (paleobotany),,,http://www.schweizerbart.de/journals/palb,Scweizerbart Science Publishers
Palaeontologia Polonica,,,http://www.palaeontologia.pan.pl/,Polish Academy of Sciences
Paleontological Contributions,,,http://paleo.ku.edu/pcjournalinfo.html,"The Paleontological Institute, Kansas"
Paleontological Journal (Paleontologicheskii Zhurnal),,,https://link.springer.com/journal/11492,MAIK Nauka/Interpriodica
Paleontological Research,,,https://bioone.org/journals/paleontological-research/,The Palaeontological Society of Japan
Paleontological Research Institution Special Publications,,,https://www.priweb.org/index.php/publications/special-publications,Paleontological Research Institution 
Paulidocola,,,https://rivp-paludicola.org/,Rochester Institute of Vertebrate Paleontology
PhytoKeys,,,https://phytokeys.pensoft.net/,Pensoft
Phytotaxa,,,https://www.mapress.com/j/pt/,Magnolia Press
Polish Polar Research,,,https://content.sciendo.com/view/journals/popore/popore-overview.xml,De Gruyter Open
Proceedings of the Yorkshire Geological Society,,,https://www.geolsoc.org.uk/~/link.aspx?_id=0CBE5F7D-1C31-44AC-B61C-615428DBEDD8&_z=z,Geological Society of London
Science,,,http://science.sciencemag.org/,American Association for the Advancement of Science
Spanish Journal of Palaeontology,,,http://sepaleontologia.es/,Sociedad Espanola de Paleontologia
Stratigraphy,,,http://www.micropress.org/stratigraphy/,Micropaleontology Press
Stratigraphy and Geological Correlation (Stratigrafiya. Geologicheskaya Korrelyatsiya),,,https://www.springer.com/earth+sciences+and+geography/geology/journal/11506,SpringerNature
Transactions of the Kansas Academy of Science,,,http://www.kansasacademyscience.org/transactions.html,Allen Press
Volumina Jurassica,,,"http://journals.indexcopernicus.com/search/details?jmlId=3561&org=Volumina%20Jurassica,p3561,3.html",Polish Geological Institute & National Research Institute
Yerbilimleri,,,http://www.yerbilimleri.hacettepe.edu.tr/desc.shtml,Hacettepe University Earth Sciences Application and Research Center
Zookeys,,,http://zookeys.pensoft.net/,Pensoft
Zoosymposia,,,https://www.mapress.com/j/zs/,Magnolia Press
